From	To	Species	Gene Name
10998	S27A5_HUMAN	Homo sapiens	solute carrier family 27 (fatty acid transporter), member 5
10998	Q59H28_HUMAN	Homo sapiens	solute carrier family 27 (fatty acid transporter), member 5
90639	COX19_HUMAN	Homo sapiens	COX19 cytochrome c oxidase assembly homolog (S. cerevisiae)
10999	S27A4_HUMAN	Homo sapiens	solute carrier family 27 (fatty acid transporter), member 4
10999	Q96G53_HUMAN	Homo sapiens	solute carrier family 27 (fatty acid transporter), member 4
10999	Q9BTA1_HUMAN	Homo sapiens	solute carrier family 27 (fatty acid transporter), member 4
23658	LSM5_HUMAN	Homo sapiens	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae)
90637	ZFN2A_HUMAN	Homo sapiens	zinc finger, AN1-type domain 2A
63922	Q96S08_HUMAN	Homo sapiens	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)
63922	CTF18_HUMAN	Homo sapiens	CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae)
25797	Q8NI73_HUMAN	Homo sapiens	glutaminyl-peptide cyclotransferase
25797	Q53TR4_HUMAN	Homo sapiens	glutaminyl-peptide cyclotransferase
25797	QPCT_HUMAN	Homo sapiens	glutaminyl-peptide cyclotransferase
23654	Q3LIB1_HUMAN	Homo sapiens	plexin B2
23654	Q2TBE4_HUMAN	Homo sapiens	plexin B2
23654	Q16293_HUMAN	Homo sapiens	plexin B2
23654	PLXB2_HUMAN	Homo sapiens	plexin B2
25798	BRI3_HUMAN	Homo sapiens	brain protein I3; brain protein I3 pseudogene 1
63923	B3KXB6_HUMAN	Homo sapiens	tenascin N
63923	TENN_HUMAN	Homo sapiens	tenascin N
10990	Q8NF80_HUMAN	Homo sapiens	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5
10990	LIRB5_HUMAN	Homo sapiens	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5
63924	CIDEC_HUMAN	Homo sapiens	cell death-inducing DFFA-like effector c
63924	Q86XG0_HUMAN	Homo sapiens	cell death-inducing DFFA-like effector c
10991	S38A3_HUMAN	Homo sapiens	solute carrier family 38, member 3
10992	Q7Z3K9_HUMAN	Homo sapiens	splicing factor 3b, subunit 2, 145kDa
10992	Q96CM6_HUMAN	Homo sapiens	splicing factor 3b, subunit 2, 145kDa
10992	Q7L4T5_HUMAN	Homo sapiens	splicing factor 3b, subunit 2, 145kDa
10992	Q7Z627_HUMAN	Homo sapiens	splicing factor 3b, subunit 2, 145kDa
10992	SF3B2_HUMAN	Homo sapiens	splicing factor 3b, subunit 2, 145kDa
10992	Q9BWD2_HUMAN	Homo sapiens	splicing factor 3b, subunit 2, 145kDa
63925	ZN335_HUMAN	Homo sapiens	zinc finger protein 335
63925	Q8IW09_HUMAN	Homo sapiens	zinc finger protein 335
10993	SDHL_HUMAN	Homo sapiens	serine dehydratase
10993	Q8WW81_HUMAN	Homo sapiens	serine dehydratase
23650	Q0P6H7_HUMAN	Homo sapiens	tripartite motif-containing 29
23650	TRI29_HUMAN	Homo sapiens	tripartite motif-containing 29
23650	Q53G41_HUMAN	Homo sapiens	tripartite motif-containing 29
10994	ILVBL_HUMAN	Homo sapiens	ilvB (bacterial acetolactate synthase)-like
10994	Q59GP4_HUMAN	Homo sapiens	ilvB (bacterial acetolactate synthase)-like
391059	FRRS1_HUMAN	Homo sapiens	ferric-chelate reductase 1
25799	Q9H861_HUMAN	Homo sapiens	zinc finger protein 324
25799	Q96I98_HUMAN	Homo sapiens	zinc finger protein 324
25799	Z324A_HUMAN	Homo sapiens	zinc finger protein 324
63920	CE054_HUMAN	Homo sapiens	chromosome 5 open reading frame 54
25790	CCD19_HUMAN	Homo sapiens	coiled-coil domain containing 19
25790	Q05BA3_HUMAN	Homo sapiens	coiled-coil domain containing 19
63916	Q5JVZ4_HUMAN	Homo sapiens	engulfment and cell motility 2
63916	ELMO2_HUMAN	Homo sapiens	engulfment and cell motility 2
63916	Q5JVZ8_HUMAN	Homo sapiens	engulfment and cell motility 2
63916	Q5JW01_HUMAN	Homo sapiens	engulfment and cell motility 2
63916	Q7Z5G9_HUMAN	Homo sapiens	engulfment and cell motility 2
63916	Q5BLP5_HUMAN	Homo sapiens	engulfment and cell motility 2
63916	Q5JVZ5_HUMAN	Homo sapiens	engulfment and cell motility 2
63915	TXND5_HUMAN	Homo sapiens	thioredoxin domain containing 5 (endoplasmic reticulum); muted homolog (mouse)
63915	Q658S9_HUMAN	Homo sapiens	thioredoxin domain containing 5 (endoplasmic reticulum); muted homolog (mouse)
63915	Q6EHZ3_HUMAN	Homo sapiens	thioredoxin domain containing 5 (endoplasmic reticulum); muted homolog (mouse)
63915	Q86UY0_HUMAN	Homo sapiens	thioredoxin domain containing 5 (endoplasmic reticulum); muted homolog (mouse)
63915	B2RDM2_HUMAN	Homo sapiens	thioredoxin domain containing 5 (endoplasmic reticulum); muted homolog (mouse)
63915	MUTED_HUMAN	Homo sapiens	thioredoxin domain containing 5 (endoplasmic reticulum); muted homolog (mouse)
63915	Q0VDJ6_HUMAN	Homo sapiens	thioredoxin domain containing 5 (endoplasmic reticulum); muted homolog (mouse)
25793	Q5HYB3_HUMAN	Homo sapiens	F-box protein 7
25793	FBX7_HUMAN	Homo sapiens	F-box protein 7
25792	Q5SYW2_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25792	Q5SYW9_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25792	Q5SYW4_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25792	Q5SYW3_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25792	B4E0A3_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25792	A8K9J8_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25792	Q5SYW5_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25792	Q9BTG3_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25792	CIZ1_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25792	Q9H868_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25792	Q5SYX4_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25792	B4E131_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25792	Q96KB7_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25792	Q8WU72_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25792	Q9Y3F8_HUMAN	Homo sapiens	CDKN1A interacting zinc finger protein 1
25791	NGEF_HUMAN	Homo sapiens	neuronal guanine nucleotide exchange factor
63917	GLT11_HUMAN	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)
63917	B3KWF4_HUMAN	Homo sapiens	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11)
90627	Q6MZG8_HUMAN	Homo sapiens	StAR-related lipid transfer (START) domain containing 13
90627	B2R789_HUMAN	Homo sapiens	StAR-related lipid transfer (START) domain containing 13
90627	STA13_HUMAN	Homo sapiens	StAR-related lipid transfer (START) domain containing 13
90627	Q86XT0_HUMAN	Homo sapiens	StAR-related lipid transfer (START) domain containing 13
23649	DPOA2_HUMAN	Homo sapiens	polymerase (DNA directed), alpha 2 (70kD subunit)
23647	ARFP2_HUMAN	Homo sapiens	ADP-ribosylation factor interacting protein 2
23648	Q9NW25_HUMAN	Homo sapiens	single stranded DNA binding protein 3; hypothetical LOC100131851
23648	Q5T865_HUMAN	Homo sapiens	single stranded DNA binding protein 3; hypothetical LOC100131851
23648	SSBP3_HUMAN	Homo sapiens	single stranded DNA binding protein 3; hypothetical LOC100131851
