From	To
400451	F174B_HUMAN
9899	SV2B_HUMAN
348093	RBPS2_HUMAN
57099	AVEN_HUMAN
57082	CASC5_HUMAN
64718	E9PDK2_HUMAN
64718	UNKL_HUMAN
5619	HSP1_HUMAN
5619	Q3MN80_HUMAN
9100	UBP10_HUMAN
3281	HSBP1_HUMAN
80004	ESRP2_HUMAN
1014	CAD16_HUMAN
4753	B7Z625_HUMAN
4753	NELL2_HUMAN
90850	ZN598_HUMAN
26063	DECR2_HUMAN
8131	B7Z220_HUMAN
8131	B7Z6Q0_HUMAN
8131	NPRL3_HUMAN
8131	Q9BTE2_HUMAN
23594	ORC6_HUMAN
5531	PP4C_HUMAN
146433	IL34_HUMAN
6923	ELOB_HUMAN
23174	ZCH14_HUMAN
80011	F192A_HUMAN
64779	B4DN17_HUMAN
64779	F5H0M7_HUMAN
64779	MTHSD_HUMAN
79001	VKOR1_HUMAN
79641	ROGDI_HUMAN
3163	B3KSE0_HUMAN
3163	HMOX2_HUMAN
124491	B3KT46_HUMAN
124491	T170A_HUMAN
368	A2RRN8_HUMAN
368	MRP6_HUMAN
4025	PERL_HUMAN
6904	TBCD_HUMAN
25834	B4DRH2_HUMAN
25834	MGT4C_HUMAN
51155	HN1_HUMAN
5409	PNMT_HUMAN
57659	B3KVD4_HUMAN
57659	ZBTB4_HUMAN
5176	PEDF_HUMAN
23293	EST1A_HUMAN
5598	MK07_HUMAN
5376	PMP22_HUMAN
5376	Q6FH25_HUMAN
8631	SKAP1_HUMAN
8631	V9HW03_HUMAN
51629	B4DFG5_HUMAN
51629	S2539_HUMAN
57104	PLPL2_HUMAN
6774	K7ENL3_HUMAN
6774	STAT3_HUMAN
200894	AR13B_HUMAN
80179	B4E218_HUMAN
80179	B7Z1T7_HUMAN
80179	MYO19_HUMAN
23512	A8K1U9_HUMAN
23512	J3QQW9_HUMAN
23512	SUZ12_HUMAN
28964	GIT1_HUMAN
28964	Q59FC3_HUMAN
201305	SPNS3_HUMAN
8687	KRT38_HUMAN
11322	TMC6_HUMAN
83900	KRA93_HUMAN
83897	KRA32_HUMAN
3885	KRT34_HUMAN
8387	OR1E1_HUMAN
84690	F5GWB9_HUMAN
84690	SPT22_HUMAN
51226	COPZ2_HUMAN
9150	CTDP1_HUMAN
2922	GRP_HUMAN
4677	SYNC_HUMAN
1528	CYB5_HUMAN
6422	SFRP1_HUMAN
83608	CR021_HUMAN
83608	Q8TBS0_HUMAN
83608	W4VSQ2_HUMAN
147645	VS10L_HUMAN
84914	ZN587_HUMAN
24139	EMAL2_HUMAN
26974	B7ZLR9_HUMAN
26974	ZN285_HUMAN
65095	KRI1_HUMAN
84971	ATG4D_HUMAN
84971	B4DGM8_HUMAN
28511	KBRS2_HUMAN
79088	K7ER43_HUMAN
79088	ZN426_HUMAN
29785	CP2S1_HUMAN
374907	B3GN8_HUMAN
79041	TM38A_HUMAN
718	CO3_HUMAN
718	V9HWA9_HUMAN
91662	NAL12_HUMAN
81576	CC130_HUMAN
79973	ZN442_HUMAN
22983	MAST1_HUMAN
11012	KLK11_HUMAN
3748	KCNC3_HUMAN
126123	IZUM2_HUMAN
6205	RS11_HUMAN
587	B3KSI3_HUMAN
587	BCAT2_HUMAN
79643	CHMP6_HUMAN
26291	FGF21_HUMAN
147929	ZN565_HUMAN
63934	ZN667_HUMAN
81	ACTN4_HUMAN
85300	ATCAY_HUMAN
1178	LEG10_HUMAN
84717	HDGR2_HUMAN
10226	PLIN3_HUMAN
29122	TSP50_HUMAN
84444	DOT1L_HUMAN
116541	RM54_HUMAN
6528	SC5A5_HUMAN
85360	SYDE1_HUMAN
7561	ZNF14_HUMAN
8309	ACOX2_HUMAN
9170	LPAR2_HUMAN
115290	FBX17_HUMAN
10297	APC2_HUMAN
26470	B7Z5L4_HUMAN
26470	SE6L2_HUMAN
4190	MDHC_HUMAN
4190	V9HWF2_HUMAN
678	TISD_HUMAN
92291	CAN13_HUMAN
8685	MARCO_HUMAN
8685	Q4ZG40_HUMAN
7852	CXCR4_HUMAN
57471	ERMIN_HUMAN
80219	B8ZZV9_HUMAN
80219	CQ10B_HUMAN
4148	MATN3_HUMAN
3037	HYAS2_HUMAN
6744	E7END2_HUMAN
6744	E9PHV5_HUMAN
6744	SSFA2_HUMAN
66037	BOLL_HUMAN
7277	TBA4A_HUMAN
80326	WN10A_HUMAN
10109	ARPC2_HUMAN
10109	Q53R19_HUMAN
130749	CBPO_HUMAN
2956	MSH6_HUMAN
2956	Q3SWU9_HUMAN
6637	RUXG_HUMAN
