sampleNumber	FileName	Treatment
1	GSM1248759_12884_252665213878_3.txt	Normal
2	GSM1248760_12900_252665213880_3.txt	Normal
3	GSM1248761_9328_252665210376_1.txt	Normal
4	GSM1248762_9338_252665210377_2.txt	Normal
5	GSM1248768_13586_252665215476_3.txt	Normal
6	GSM1248769_9124_252665210373_3.txt	OA
7	GSM1248770_9348_252665210393_3.txt	OA
8	GSM1248771_9350_252665210393_4.txt	OA
9	GSM1248772_9352_252665210394_1.txt	OA
10	GSM1248773_9354_252665210394_2.txt	OA
11	GSM1248774_9356_252665210394_3.txt	OA
12	GSM1248775_9358_252665210394_4.txt	OA
13	GSM1248776_10348_252665210446_2.txt	OA
14	GSM1248777_10352_252665210446_4.txt	OA
15	GSM1248778_10362_252665210448_1.txt	OA
16	GSM1248779_9810_252665210101_3.txt	OA
17	GSM1248780_9816_252665210103_2.txt	OA
18	GSM1248781_9828_252665210104_4.txt	OA
19	GSM1248782_9844_252665210041_4.txt	OA
20	GSM1248783_9858_252665210043_3.txt	OA
21	GSM1248784_9868_252665210044_4.txt	OA
22	GSM1248785_11248_252665212099_1.txt	OA
23	GSM1248786_11262_252665212100_4.txt	OA
24	GSM1248787_11356_252665212102_1.txt	OA
25	GSM1248788_11370_252665212004_4.txt	OA
