EntrezID	GeneLength	GL7	GL8	GL9	GL10	GL11	GL12
11287	4681	1	0	0	0	0	0
11298	1455	0	1	1	1	3	2
11302	5264	2	2	1	14	2	7
11303	10260	123	115	83	302	1589	418
11304	7248	0	0	0	0	0	0
11305	8061	513	831	727	754	1040	703
11306	5759	1901	1932	1875	1642	1544	1894
11307	5821	1479	1800	1371	2664	4320	2478
11308	3504	3416	3347	3171	3744	3625	4518
11350	7179	3274	3823	3628	2912	2991	3049
11352	10714	1296	1387	1322	1516	1980	1936
11354	409	0	0	0	0	0	0
11363	1892	2330	2817	2728	1724	1584	1892
11364	1845	506	483	574	547	499	610
11370	2158	513	582	530	657	595	741
11409	1837	708	708	684	833	750	846
11416	3109	313	323	320	354	405	407
11418	3789	0	0	0	0	0	0
11419	3764	74	53	39	61	52	54
11421	5081	5	2	0	25	14	8
11423	2183	2	0	0	3	1	3
11425	464	0	0	0	0	0	0
11426	17637	3007	3159	3227	4539	5758	4286
11428	4319	279	371	296	270	350	284
11429	2768	2931	3294	3100	2829	2476	2884
11430	3987	475	490	434	590	654	686
11431	3221	831	894	902	680	634	818
11432	4653	56	66	71	100	99	119
11433	1616	1417	1321	1488	2007	2265	2029
11434	1503	0	0	0	0	0	0
11435	4288	1	0	1	1	4	1
11438	4437	0	0	0	0	0	0
11440	2906	0	0	0	0	0	0
11441	2091	0	0	0	0	0	0
11443	2149	82	88	101	422	347	301
11444	5384	10	13	23	18	12	18
11447	2910	0	0	0	0	0	0
11448	1591	1	1	1	2	0	1
11449	1921	0	0	0	1	0	1
11450	1232	1	0	0	2	0	0
11451	1095	1	0	1	0	0	0
11459	1433	2	3	1	4	2	3
11461	1889	26320	30344	32705	26686	24649	25608
11464	1390	0	0	0	0	0	0
11465	1894	4607	5405	5353	5463	4941	5404
11468	1315	0	0	0	0	0	0
11470	1504	0	0	0	0	0	0
11471	1421	2	0	0	0	0	0
11472	2985	0	0	0	0	0	0
11474	2855	2	1	0	1	0	5
11475	1780	2	2	1	4	2	2
11477	3298	1	0	0	2	3	1
11479	3277	258	322	304	289	356	382
11480	5681	94	76	68	97	73	80
11481	1710	29	68	46	20	28	11
11482	3625	5	5	3	13	6	12
11484	1534	0	0	0	0	0	0
11486	1626	753	917	1020	467	456	618
11487	4589	3813	4054	3588	7431	7426	7185
11488	5102	0	0	0	2	0	0
11489	7675	0	0	0	0	0	0
11490	2989	11	13	15	21	12	23
11491	4410	1393	1488	1407	1684	1586	1912
11492	6388	170	76	75	2437	669	1382
11495	2551	0	0	0	0	0	0
11496	9256	10	12	9	15	15	14
11497	2707	0	0	0	0	0	0
11498	2330	24	3	5	15	12	9
11499	2791	0	0	0	0	0	0
